Forcing tensorflow/CPU backend.
iter: 3540; timecost: 128.9575; loss: 0.0040
iter: 3560; timecost: 128.7669; loss: 0.0037
iter: 3580; timecost: 130.0598; loss: 0.0052
iter: 3600; timecost: 128.8629; loss: 0.0044
iter: 3620; timecost: 130.1240; loss: 0.0051
iter: 3640; timecost: 130.2897; loss: 0.0050
iter: 3660; timecost: 131.9159; loss: 0.0044
iter: 3680; timecost: 129.9760; loss: 0.0042
iter: 3700; timecost: 131.4430; loss: 0.0043
iter: 3720; timecost: 131.2502; loss: 0.0050
iter: 3740; timecost: 126.9179; loss: 0.0047
iter: 3760; timecost: 128.5899; loss: 0.0044
iter: 3780; timecost: 128.8650; loss: 0.0045
iter: 3800; timecost: 130.1778; loss: 0.0041
iter: 3820; timecost: 129.4916; loss: 0.0045
iter: 3840; timecost: 130.4017; loss: 0.0046
iter: 3860; timecost: 128.7056; loss: 0.0045
iter: 3880; timecost: 130.6191; loss: 0.0042
iter: 3900; timecost: 130.0695; loss: 0.0043
iter: 3920; timecost: 132.5257; loss: 0.0041
iter: 3940; timecost: 131.6032; loss: 0.0046
iter: 3960; timecost: 131.0004; loss: 0.0043
iter: 3980; timecost: 127.5952; loss: 0.0036
iter: 4000; timecost: 129.3138; loss: 0.0043
iter: 4020; timecost: 131.3525; loss: 0.0041
iter: 4040; timecost: 130.5756; loss: 0.0046
iter: 4060; timecost: 130.5119; loss: 0.0043
iter: 4080; timecost: 131.2824; loss: 0.0041
iter: 4100; timecost: 130.6836; loss: 0.0040
iter: 4120; timecost: 129.7394; loss: 0.0040
iter: 4140; timecost: 129.1921; loss: 0.0043
iter: 4160; timecost: 132.2448; loss: 0.0046
iter: 4180; timecost: 130.9237; loss: 0.0045
iter: 4200; timecost: 130.8370; loss: 0.0046
iter: 4220; timecost: 129.7136; loss: 0.0035
iter: 4240; timecost: 129.7311; loss: 0.0039
iter: 4260; timecost: 127.7745; loss: 0.0038
iter: 4280; timecost: 131.4628; loss: 0.0043
iter: 4300; timecost: 130.1543; loss: 0.0036
iter: 4320; timecost: 132.1705; loss: 0.0038
iter: 4340; timecost: 131.5546; loss: 0.0037
iter: 4360; timecost: 131.4873; loss: 0.0038
iter: 4380; timecost: 128.4713; loss: 0.0036
iter: 4400; timecost: 128.2574; loss: 0.0038
iter: 4420; timecost: 130.7666; loss: 0.0044
iter: 4440; timecost: 130.3721; loss: 0.0038
iter: 4460; timecost: 130.7244; loss: 0.0037
iter: 4480; timecost: 129.0355; loss: 0.0036
iter: 4500; timecost: 129.4897; loss: 0.0042
iter: 4520; timecost: 130.6158; loss: 0.0037
iter: 4540; timecost: 129.8436; loss: 0.0037
iter: 4560; timecost: 129.8802; loss: 0.0042
iter: 4580; timecost: 130.8903; loss: 0.0043
iter: 4600; timecost: 129.3796; loss: 0.0040
iter: 4620; timecost: 131.5242; loss: 0.0039
iter: 4640; timecost: 130.0177; loss: 0.0034
iter: 4660; timecost: 128.9076; loss: 0.0034
iter: 4680; timecost: 129.4547; loss: 0.0035
iter: 4700; timecost: 130.9920; loss: 0.0037
