with cuda device
with update rate: 0.1
step: 2500; accuracy: 0.5535; test_accuracy: 0.5592, loss: 15.3846; beta: 59.6951, amino: 15.3249
step: 2520; accuracy: 0.5529; test_accuracy: 0.5482, loss: 15.2848; beta: 59.8002, amino: 15.2250
step: 2540; accuracy: 0.5497; test_accuracy: 0.5509, loss: 15.6340; beta: 60.1138, amino: 15.5739
step: 2560; accuracy: 0.5521; test_accuracy: 0.5624, loss: 15.3370; beta: 60.2111, amino: 15.2768
step: 2580; accuracy: 0.5482; test_accuracy: 0.5657, loss: 15.4440; beta: 59.4765, amino: 15.3845
step: 2600; accuracy: 0.5421; test_accuracy: 0.5201, loss: 15.8840; beta: 59.5342, amino: 15.8245
step: 2620; accuracy: 0.5508; test_accuracy: 0.5684, loss: 15.3247; beta: 59.2290, amino: 15.2655
step: 2640; accuracy: 0.5631; test_accuracy: 0.5665, loss: 14.9701; beta: 59.0199, amino: 14.9111
step: 2660; accuracy: 0.5679; test_accuracy: 0.5536, loss: 14.7017; beta: 58.9561, amino: 14.6428
step: 2680; accuracy: 0.5720; test_accuracy: 0.5305, loss: 14.5830; beta: 59.7115, amino: 14.5232
step: 2700; accuracy: 0.5512; test_accuracy: 0.5591, loss: 15.4763; beta: 59.9046, amino: 15.4164
step: 2720; accuracy: 0.5592; test_accuracy: 0.5810, loss: 15.0793; beta: 59.8424, amino: 15.0195
step: 2740; accuracy: 0.5556; test_accuracy: 0.5504, loss: 15.3826; beta: 59.3887, amino: 15.3232
step: 2760; accuracy: 0.5507; test_accuracy: 0.5539, loss: 15.3761; beta: 59.4342, amino: 15.3166
step: 2780; accuracy: 0.5506; test_accuracy: 0.5459, loss: 15.4412; beta: 59.4853, amino: 15.3818
step: 2800; accuracy: 0.5493; test_accuracy: 0.5848, loss: 15.6272; beta: 58.9924, amino: 15.5682
step: 2820; accuracy: 0.5548; test_accuracy: 0.5677, loss: 15.4732; beta: 58.9778, amino: 15.4142
step: 2840; accuracy: 0.5536; test_accuracy: 0.5653, loss: 15.2647; beta: 59.3865, amino: 15.2053
step: 2860; accuracy: 0.5689; test_accuracy: 0.5531, loss: 14.9013; beta: 59.4097, amino: 14.8418
step: 2880; accuracy: 0.5505; test_accuracy: 0.5468, loss: 15.4465; beta: 58.6984, amino: 15.3878
step: 2900; accuracy: 0.5595; test_accuracy: 0.5748, loss: 15.0909; beta: 59.0574, amino: 15.0319
step: 2920; accuracy: 0.5636; test_accuracy: 0.5678, loss: 15.0676; beta: 59.3192, amino: 15.0083
step: 2940; accuracy: 0.5687; test_accuracy: 0.5821, loss: 14.7634; beta: 58.8256, amino: 14.7046
step: 2960; accuracy: 0.5696; test_accuracy: 0.5666, loss: 14.7275; beta: 58.9892, amino: 14.6685
step: 2980; accuracy: 0.5591; test_accuracy: 0.5859, loss: 15.1567; beta: 59.2997, amino: 15.0974
step: 3000; accuracy: 0.5663; test_accuracy: 0.5097, loss: 14.9543; beta: 59.1642, amino: 14.8951
step: 3020; accuracy: 0.5478; test_accuracy: 0.5355, loss: 15.6884; beta: 58.7579, amino: 15.6297
step: 3040; accuracy: 0.5597; test_accuracy: 0.5499, loss: 15.3106; beta: 58.9931, amino: 15.2516
step: 3060; accuracy: 0.5774; test_accuracy: 0.5729, loss: 14.3550; beta: 59.1941, amino: 14.2958
step: 3080; accuracy: 0.5685; test_accuracy: 0.5712, loss: 14.6992; beta: 59.1090, amino: 14.6401
step: 3100; accuracy: 0.5727; test_accuracy: 0.5616, loss: 14.4380; beta: 59.1770, amino: 14.3789
step: 3120; accuracy: 0.5643; test_accuracy: 0.5545, loss: 14.9767; beta: 59.5041, amino: 14.9172
step: 3140; accuracy: 0.5667; test_accuracy: 0.5835, loss: 14.9268; beta: 59.5293, amino: 14.8673
step: 3160; accuracy: 0.5668; test_accuracy: 0.5761, loss: 15.0212; beta: 59.5634, amino: 14.9616
step: 3180; accuracy: 0.5681; test_accuracy: 0.5686, loss: 14.9653; beta: 59.5704, amino: 14.9057
step: 3200; accuracy: 0.5643; test_accuracy: 0.5553, loss: 15.0365; beta: 58.9006, amino: 14.9776
step: 3220; accuracy: 0.5729; test_accuracy: 0.5961, loss: 14.5960; beta: 58.3479, amino: 14.5376
step: 3240; accuracy: 0.5654; test_accuracy: 0.5738, loss: 14.9154; beta: 58.2395, amino: 14.8572
step: 3260; accuracy: 0.5784; test_accuracy: 0.5752, loss: 14.3201; beta: 58.8764, amino: 14.2612
step: 3280; accuracy: 0.5749; test_accuracy: 0.5616, loss: 14.4231; beta: 59.4183, amino: 14.3637
step: 3300; accuracy: 0.5723; test_accuracy: 0.5576, loss: 14.6104; beta: 58.9958, amino: 14.5514
step: 3320; accuracy: 0.5724; test_accuracy: 0.5653, loss: 14.7332; beta: 59.1688, amino: 14.6740
step: 3340; accuracy: 0.5763; test_accuracy: 0.5653, loss: 14.5029; beta: 59.4552, amino: 14.4435
step: 3360; accuracy: 0.5675; test_accuracy: 0.5804, loss: 14.7381; beta: 59.2392, amino: 14.6788
step: 3380; accuracy: 0.5806; test_accuracy: 0.5659, loss: 14.4166; beta: 59.3480, amino: 14.3573
step: 3400; accuracy: 0.5726; test_accuracy: 0.5856, loss: 14.8129; beta: 58.7379, amino: 14.7542
step: 3420; accuracy: 0.5723; test_accuracy: 0.5779, loss: 14.6799; beta: 59.2231, amino: 14.6206
step: 3440; accuracy: 0.5755; test_accuracy: 0.6035, loss: 14.5042; beta: 59.0632, amino: 14.4451
step: 3460; accuracy: 0.5666; test_accuracy: 0.5406, loss: 14.9597; beta: 59.0707, amino: 14.9006
step: 3480; accuracy: 0.5654; test_accuracy: 0.5279, loss: 14.7304; beta: 58.6085, amino: 14.6718
step: 3500; accuracy: 0.5716; test_accuracy: 0.5904, loss: 14.6913; beta: 58.5493, amino: 14.6328
step: 3520; accuracy: 0.5844; test_accuracy: 0.5881, loss: 14.1902; beta: 58.5191, amino: 14.1317
step: 3540; accuracy: 0.5771; test_accuracy: 0.5854, loss: 14.4468; beta: 58.8603, amino: 14.3880
